Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Songo Songo PSA,,PanAfrican Energy Tanzania Limited,,,,,http://downloads.openoil.net/contracts%2Ftz%2Ftz_Songo-Songo-Gas-field_dd20060711_PSA_Panafrican.pdf,high,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Songo Songo PSA,,Tanzania Petroleum Development Corporation,,,,,http://downloads.openoil.net/contracts%2Ftz%2Ftz_Songo-Songo-Gas-field_dd20060711_PSA_Panafrican.pdf,high,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orca Exploration Group Inc,,,,British Virgin Islands,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=2&issuerNo=00021084&fileName=/csfsprod/data151/filings/02346548/00000001/z%3A%5CSEDAR%5CLPC%5C060922%5C0002%5C2015YE%5CAnnualReport.pdf,high,2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PanAfrican Energy Tanzania Limited,,Orca Exploration Group Inc,100,Jersey,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=2&issuerNo=00021084&fileName=/csfsprod/data151/filings/02346548/00000001/z%3A%5CSEDAR%5CLPC%5C060922%5C0002%5C2015YE%5CAnnualReport.pdf,high,2015-05-06,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Orca Exploration Italy Inc,,Orca Exploration Group Inc,100,British Virgin Islands,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=2&issuerNo=00021084&fileName=/csfsprod/data151/filings/02346548/00000001/z%3A%5CSEDAR%5CLPC%5C060922%5C0002%5C2015YE%5CAnnualReport.pdf,high,2015-05-06,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
PAE PanAfrican Energy Corporation,,Orca Exploration Group Inc,100,Mauritius,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=2&issuerNo=00021084&fileName=/csfsprod/data151/filings/02346548/00000001/z%3A%5CSEDAR%5CLPC%5C060922%5C0002%5C2015YE%5CAnnualReport.pdf,high,2015-05-06,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Orca Exploration UK Services Limited,,Orca Exploration Group Inc,100,United Kingdom,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=2&issuerNo=00021084&fileName=/csfsprod/data151/filings/02346548/00000001/z%3A%5CSEDAR%5CLPC%5C060922%5C0002%5C2015YE%5CAnnualReport.pdf,high,2015-05-06,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
