Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Block 2,65,Statoil Tanzania AS,,,,,http://www.statoil.com/en/about/worldwide/tanzania/pages/default.aspx,medium,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Block 2,35,ExxonMobil Exploration and Production Tanzania Limited,,,,,https://www.sec.gov/Archives/edgar/data/1140625/000114062512000067/0001140625-12-000067.txt,high,2012,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Statoil ASA,,,,Norway,,,http://www.statoil.com/no/InvestorCentre/AnnualReport/AnnualReport2014/Documents/DownloadCentreFiles/01_KeyDownloads/20-F_2014.pdf,high,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExxonMobil Corp,,,,United States,,,https://www.sec.gov/Archives/edgar/data/1140625/000114062512000067/0001140625-12-000067.txt,high,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statoil Tanzania AS,100,Statoil ASA,,Norway,,,http://www.statoil.com/no/InvestorCentre/AnnualReport/AnnualReport2014/Documents/DownloadCentreFiles/01_KeyDownloads/20-F_2014.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
ExxonMobil Exploration and Production Tanzania Limited,100,ExxonMobil Corp,,United States,,,https://www.sec.gov/Archives/edgar/data/1140625/000114062512000067/0001140625-12-000067.txt,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
