Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Maurel & Prom Exploration and Production BR M,100,Maurel & Prom Volney 2 SAS,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Exploration and Production Mozambique SAS,100,Maurel & Prom Volney 2 SAS,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Namibia SAS,100,Maurel & Prom Volney 2 SAS,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Saint-Aubin Energie,33,Maurel & Prom SA,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Iraq SAS,50,Saint-Aubin Energie,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
MP East Asia SAS,100,Saint-Aubin Energie,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
MP West Canada SAS,100,Saint-Aubin Energie,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
MP Energy West Canada Corp.,100,Saint-Aubin Energie,,Canada,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Saint-Aubin Energie Quebec Inc,100,Saint-Aubin Energie,,Canada,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Saint-Aubin Exploration & Production (Quebec) Inc,100,Saint-Aubin Energie,,Canada,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
