Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Kilwani North,65,Ndovu Resources Limited,,Tanzania,,,http://tools.morningstar.co.uk/tsweu6nqxu/globaldocuments/document/documentHandler.ashx?DocumentId=62159070,high,2014-01-30,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Ruvuma,75,Ndovu Resources Limited,,Tanzania,,,http://tools.morningstar.co.uk/tsweu6nqxu/globaldocuments/document/documentHandler.ashx?DocumentId=62159070,high,2014-01-30,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Nyuni,70,Ndovu Resources Limited,,Tanzania,,,http://tools.morningstar.co.uk/tsweu6nqxu/globaldocuments/document/documentHandler.ashx?DocumentId=62159070,high,2014-01-30,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Aminex PLC,,,,Ireland,,,http://tools.morningstar.co.uk/tsweu6nqxu/globaldocuments/document/documentHandler.ashx?DocumentId=62159070,high,2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndovu Resources Limited,,Aminex PLC,100,Tanzania,,,http://tools.morningstar.co.uk/tsweu6nqxu/globaldocuments/document/documentHandler.ashx?DocumentId=62159070,high,2014-01-30,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Aminex USA Inc,,Aminex PLC,100,United States,,,http://tools.morningstar.co.uk/tsweu6nqxu/globaldocuments/document/documentHandler.ashx?DocumentId=62159070,high,2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aminex Petroleum Egypt Limited,,Aminex PLC,12.5,British Virgin Islands,,,http://tools.morningstar.co.uk/tsweu6nqxu/globaldocuments/document/documentHandler.ashx?DocumentId=62159070,high,2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
